"Statistic Label","Year","Sex","County","Age Group","Cause of Death","UNIT","VALUE"
"Age-standardised mortality rate","2022","Male","Ireland","0 - 64 years","Infectious and parasitic diseases","Rate","1.5"
"Age-standardised mortality rate","2022","Male","Ireland","0 - 64 years","Diseases of the blood and blood-forming organs, immunulogical disorders","Rate","0.58"
"Age-standardised mortality rate","2022","Male","Ireland","0 - 64 years","Diabetes mellitus","Rate","1.78"
"Age-standardised mortality rate","2022","Male","Ireland","0 - 64 years","Alcohol abuse (including alcoholic psychosis)","Rate","0.3"
"Age-standardised mortality rate","2022","Male","Ireland","0 - 64 years","Drug dependance, toxicomania","Rate","0.64"
"Age-standardised mortality rate","2022","Male","Ireland","0 - 64 years","Meningitis","Rate","0.24"
"Age-standardised mortality rate","2022","Male","Ireland","0 - 64 years","Accidents","Rate","20.69"
"Age-standardised mortality rate","2022","Male","Ireland","0 - 64 years","Transport accidents","Rate","2.94"
"Age-standardised mortality rate","2022","Male","Ireland","0 - 74 years","Infectious and parasitic diseases","Rate","2.68"
"Age-standardised mortality rate","2022","Male","Ireland","0 - 74 years","Diseases of the blood and blood-forming organs, immunulogical disorders","Rate","1.21"
"Age-standardised mortality rate","2022","Male","Ireland","0 - 74 years","Diabetes mellitus","Rate","4.62"
"Age-standardised mortality rate","2022","Male","Ireland","0 - 74 years","Alcohol abuse (including alcoholic psychosis)","Rate","0.69"
"Age-standardised mortality rate","2022","Male","Ireland","0 - 74 years","Drug dependance, toxicomania","Rate","0.62"
"Age-standardised mortality rate","2022","Male","Ireland","0 - 74 years","Meningitis","Rate","0.31"
"Age-standardised mortality rate","2022","Male","Ireland","0 - 74 years","Accidents","Rate","22.87"
"Age-standardised mortality rate","2022","Male","Ireland","0 - 74 years","Transport accidents","Rate","3.08"
"Age-standardised mortality rate","2022","Male","Ireland","65 years and over","Infectious and parasitic diseases","Rate","53.87"
"Age-standardised mortality rate","2022","Male","Ireland","65 years and over","Diseases of the blood and blood-forming organs, immunulogical disorders","Rate","17.59"
"Age-standardised mortality rate","2022","Male","Ireland","65 years and over","Diabetes mellitus","Rate","109.73"
"Age-standardised mortality rate","2022","Male","Ireland","65 years and over","Alcohol abuse (including alcoholic psychosis)","Rate","2.51"
"Age-standardised mortality rate","2022","Male","Ireland","65 years and over","Drug dependance, toxicomania","Rate","0.26"
"Age-standardised mortality rate","2022","Male","Ireland","65 years and over","Meningitis","Rate","0.77"
"Age-standardised mortality rate","2022","Male","Ireland","65 years and over","Accidents","Rate","100.83"
"Age-standardised mortality rate","2022","Male","Ireland","65 years and over","Transport accidents","Rate","5.75"
"Age-standardised mortality rate","2022","Male","Ireland","75 years and over","Infectious and parasitic diseases","Rate","103.06"
"Age-standardised mortality rate","2022","Male","Ireland","75 years and over","Diseases of the blood and blood-forming organs, immunulogical disorders","Rate","31.1"
"Age-standardised mortality rate","2022","Male","Ireland","75 years and over","Diabetes mellitus","Rate","207"
"Age-standardised mortality rate","2022","Male","Ireland","75 years and over","Alcohol abuse (including alcoholic psychosis)","Rate","1.2"
"Age-standardised mortality rate","2022","Male","Ireland","75 years and over","Drug dependance, toxicomania","Rate","0"
"Age-standardised mortality rate","2022","Male","Ireland","75 years and over","Meningitis","Rate","0.64"
"Age-standardised mortality rate","2022","Male","Ireland","75 years and over","Accidents","Rate","172.29"
"Age-standardised mortality rate","2022","Male","Ireland","75 years and over","Transport accidents","Rate","7.57"
"Age-standardised mortality rate","2022","Male","Ireland","All ages","Infectious and parasitic diseases","Rate","11.71"
"Age-standardised mortality rate","2022","Male","Ireland","All ages","Diseases of the blood and blood-forming organs, immunulogical disorders","Rate","3.9"
